Year,State,StateCode,Deaths,Population,CrudeRate
1968,Alabama,1,857,3389630,25.3
1968,Alaska,2,27,288511,9.4
1968,Arizona,4,442,1635753,27.0
1968,Arkansas,5,609,1868694,32.6
1968,California,6,5747,19577730,29.4
1968,Colorado,8,407,2097804,19.4
1968,Connecticut,9,852,3000614,28.4
1968,Delaware,10,155,527786,29.4
1968,District of Columbia,11,285,772686,36.9
1968,Florida,12,2665,6347790,42.0
1968,Georgia,13,1030,4445076,23.2
1968,Hawaii,15,142,748941,19.0
1968,Idaho,16,133,682954,19.5
1968,Illinois,17,3385,11030373,30.7
1968,Indiana,18,1453,5140340,28.3
1968,Iowa,19,782,2800640,27.9
1968,Kansas,20,611,2262716,27.0
1968,Kentucky,21,942,3130971,30.1
1968,Louisiana,22,1127,3575874,31.5
1968,Maine,23,351,968248,36.3
1968,Maryland,24,1154,3808464,30.3
1968,Massachusetts,25,1836,5641784,32.5
1968,Michigan,26,2490,8793156,28.3
1968,Minnesota,27,814,3757906,21.7
1968,Mississippi,28,593,2166528,27.4
1968,Missouri,29,1553,4633208,33.5
1968,Montana,30,174,676270,25.7
1968,Nebraska,31,385,1465971,26.3
1968,Nevada,32,138,451275,30.6
1968,New Hampshire,33,223,707513,31.5
1968,New Jersey,34,2485,7043790,35.3
1968,New Mexico,35,159,977218,16.3
1968,New York,36,6283,18150160,34.6
1968,North Carolina,37,993,4953541,20.0
1968,North Dakota,38,130,609577,21.3
1968,Ohio,39,3246,10590808,30.6
1968,Oklahoma,40,793,2495953,31.8
1968,Oregon,41,641,2021946,31.7
1968,Pennsylvania,42,3910,11730765,33.3
1968,Rhode Island,44,323,934364,34.6
1968,South Carolina,45,568,2509155,22.6
1968,South Dakota,46,148,663937,22.3
1968,Tennessee,47,1116,3828995,29.1
1968,Texas,48,3170,10844761,29.2
1968,Utah,49,119,1012780,11.7
1968,Vermont,50,131,433198,30.2
1968,Virginia,51,1216,4537069,26.8
1968,Washington,53,921,3382136,27.2
1968,West Virginia,54,624,1717533,36.3
1968,Wisconsin,55,966,4376368,22.1
1968,Wyoming,56,63,324329,19.4
1969,Alabama,1,958,3420646,28.0
1969,Alaska,2,37,296304,12.5
1969,Arizona,4,460,1714047,26.8
1969,Arkansas,5,659,1899459,34.7
1969,California,6,5908,19795002,29.8
1969,Colorado,8,404,2160332,18.7
1969,Connecticut,9,909,3014506,30.2
1969,Delaware,10,180,539000,33.4
1969,District of Columbia,11,257,764667,33.6
1969,Florida,12,2932,6598252,44.4
1969,Georgia,13,1177,4526528,26.0
1969,Hawaii,15,135,759637,17.8
1969,Idaho,16,140,699533,20.0
1969,Illinois,17,3574,11069375,32.3
1969,Indiana,18,1507,5167826,29.2
1969,Iowa,19,862,2811716,30.7
1969,Kansas,20,626,2253857,27.8
1969,Kentucky,21,1022,3180388,32.1
1969,Louisiana,22,1221,3614715,33.8
1969,Maine,23,345,981759,35.1
1969,Maryland,24,1249,3869900,32.3
1969,Massachusetts,25,1869,5661068,33.0
1969,Michigan,26,2554,8837714,28.9
1969,Minnesota,27,854,3780598,22.6
1969,Mississippi,28,636,2196956,28.9
1969,Missouri,29,1674,4657984,35.9
1969,Montana,30,187,685625,27.3
1969,Nebraska,31,378,1475728,25.6
1969,Nevada,32,154,472069,32.6
1969,New Hampshire,33,261,723626,36.1
1969,New Jersey,34,2482,7108685,34.9
1969,New Mexico,35,159,999900,15.9
1969,New York,36,6319,18191790,34.7
1969,North Carolina,37,1126,5026390,22.4
1969,North Dakota,38,100,613777,16.3
1969,Ohio,39,3317,10621131,31.2
1969,Oklahoma,40,823,2531627,32.5
1969,Oregon,41,639,2060075,31.0
1969,Pennsylvania,42,3919,11756308,33.3
1969,Rhode Island,44,354,942007,37.6
1969,South Carolina,45,593,2555782,23.2
1969,South Dakota,46,142,664645,21.4
1969,Tennessee,47,1132,3884116,29.1
1969,Texas,48,3194,11053941,28.9
1969,Utah,49,141,1039193,13.6
1969,Vermont,50,159,439231,36.2
1969,Virginia,51,1272,4600264,27.7
1969,Washington,53,1032,3398000,30.4
1969,West Virginia,54,673,1730922,38.9
1969,Wisconsin,55,1060,4392870,24.1
1969,Wyoming,56,78,328711,23.7
1970,Alabama,1,1013,3450966,29.4
1970,Alaska,2,35,303679,11.5
1970,Arizona,4,527,1781244,29.6
1970,Arkansas,5,675,1927204,35.0
1970,California,6,6160,20004933,30.8
1970,Colorado,8,468,2213846,21.1
